Country name,year,Happiness Rating,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Colombia,2021,5.289958477,9.59209919,0.792830646,69.34999847,0.774668455,-0.062906832,0.831330955
Colombia,2022,5.891712189,9.659547806,0.87694943,69.52500153,0.799183786,-0.161807224,0.862641215
Albania,2018,5.004402637,9.496984482,0.683591664,69.07499695,0.824212313,0.007197479,0.899129391
Albania,2019,4.995317936,9.521909714,0.686364889,69.09999847,0.777351439,-0.10090977,0.914284289
Albania,2020,5.364909649,9.492215157,0.710115016,69.125,0.75367105,0.004123116,0.891358972
Albania,2021,5.25548172,9.58320713,0.70188278,69.15000153,0.827452719,0.041377552,0.896126628
Albania,2022,5.212213039,9.626482964,0.724089622,69.17500305,0.802249789,-0.065987259,0.845501959
Georgia,2018,4.659097195,9.564751625,0.617218554,64.57499695,0.7751441,-0.235978231,0.754853785
Georgia,2019,4.89183569,9.615089417,0.674976051,64.69999695,0.81053412,-0.262911677,0.647223175
Georgia,2020,5.123143196,9.54440403,0.71834594,64.82499695,0.764352381,-0.22259675,0.582734704
Georgia,2021,4.911273479,9.647734642,0.670689464,64.94999695,0.777061343,-0.287350744,0.723406911
Georgia,2022,5.292755127,9.746482849,0.754490972,65.07499695,0.820903182,-0.252852231,0.65517211
Ghana,2018,5.003693104,8.541934013,0.760716796,57.625,0.816680491,0.060721479,0.846328497
Ghana,2019,4.96680975,8.584093094,0.746247828,58,0.787447751,0.114406519,0.85666585
Ghana,2020,5.31948328,8.568556786,0.642703354,58.375,0.823720038,0.198711425,0.847024918
Ghana,2021,4.377950668,8.600658417,0.63272965,58.75,0.730264723,0.108049184,0.887770474
Ghana,2022,4.190854549,8.615270615,0.628161311,59.125,0.786439955,0.117221721,0.908888876
Gabon,2018,4.783009052,9.564825058,0.78482759,57.27500153,0.719135404,-0.197794899,0.82286346
Gabon,2019,4.914393425,9.580385208,0.763051689,57.59999847,0.736349881,-0.203892961,0.84625423
Gabon,2020,4.88654995,9.539880753,0.701217532,57.92499924,0.52837491,-0.191802859,0.788709342
Gabon,2021,5.075422287,9.533417702,0.75387162,58.25,0.699056685,-0.204896048,0.765906811
Gabon,2022,5.139500618,9.539199829,0.775247753,58.57500076,0.69927603,-0.164365619,0.802774906
Bangladesh,2018,4.499217033,8.541788101,0.705556035,64.17500305,0.90147084,-0.055945847,0.701421201
Bangladesh,2019,5.114216805,8.606523514,0.673172176,64.30000305,0.90193665,-0.063901789,0.656004608
Bangladesh,2020,5.279986858,8.628980637,0.739337921,64.42500305,0.777467191,-0.022515791,0.741659164
Bangladesh,2021,4.123318672,8.68457222,0.484740287,64.55000305,0.893013358,0.091825157,0.746206582
Bangladesh,2022,3.407532215,8.743256569,0.403707534,64.67500305,0.86457628,-0.054776076,0.61687237
Brazil,2018,6.190921783,9.590117455,0.881505251,65.22499847,0.75060904,-0.120403156,0.763251305
Brazil,2019,6.451148987,9.594590187,0.899175048,65.40000153,0.830206037,-0.065427221,0.761840582
Brazil,2020,6.109717846,9.548379898,0.830832124,65.57499695,0.786235094,-0.057944715,0.728772223
Brazil,2021,6.009953499,9.588253021,0.814328671,65.75,0.791507721,0.089277193,0.738571405
Brazil,2022,6.257079601,9.610548019,0.865809739,65.92500305,0.82977134,-0.060690548,0.741963506
Zimbabwe,2018,3.616479874,7.783066273,0.775388479,52.625,0.762674868,-0.05121934,0.844208658
Zimbabwe,2019,2.693523169,7.697755337,0.759162307,53.09999847,0.631907582,-0.047463853,0.830651879
Zimbabwe,2020,3.159802198,7.596050262,0.717242658,53.57500076,0.643302977,0.006313191,0.78852278
Zimbabwe,2021,3.154578209,7.656878471,0.685150504,54.04999924,0.667636156,-0.075574532,0.756945193
Zimbabwe,2022,3.296219587,7.670122623,0.666171908,54.52500153,0.651987135,-0.069513284,0.752632082
India,2018,3.818068743,8.769686699,0.638051987,60,0.890443385,0.082797803,0.80526334
India,2019,3.24876976,8.796131134,0.560780764,60.29999924,0.875540316,0.110719964,0.751979411
India,2020,4.223865509,8.718341827,0.616411507,60.59999847,0.906415939,0.071107663,0.780127108
India,2021,3.558253765,8.793618202,0.569732904,60.90000153,0.866110921,0.055863027,0.756820023
India,2022,3.929816246,8.849925041,0.608045101,61.20000076,0.893131018,0.089502126,0.770741999
South Korea,2018,5.840231419,10.64461231,0.79772383,72.82499695,0.600161672,-0.093186624,0.796825886
South Korea,2019,5.902816772,10.66332531,0.783160865,73.09999847,0.706032395,-0.059652969,0.71769613
South Korea,2020,5.792695522,10.65482712,0.807952285,73.375,0.711480439,-0.110537827,0.664694011
South Korea,2021,6.112745285,10.6972084,0.810740769,73.65000153,0.717086375,-0.031413686,0.685114563
South Korea,2022,5.950013638,10.72598648,0.81003511,73.92500305,0.723479927,0.00342142,0.747344434
Guinea,2018,5.25222683,7.812669277,0.630433142,52.84999847,0.731157243,0.091018714,0.778393805
Guinea,2019,4.76768446,7.84194088,0.655124187,53.29999924,0.691399097,0.095537141,0.755585492
Guinea,2020,4.972168446,7.864849091,0.731928527,53.75,0.598107696,0.078447431,0.790462673
Guinea,2021,4.944539547,7.878664494,0.627239227,54.20000076,0.676289976,0.160383582,0.783515692
Guinea,2022,5.317492962,7.899697304,0.582017422,54.65000153,0.729232073,0.139162883,0.770350397
Australia,2018,7.17699337,10.8006525,0.940137267,70.82499695,0.916028142,0.142901212,0.404647499
Australia,2019,7.233994961,10.80728245,0.942774355,70.90000153,0.917536914,0.11690785,0.430208653
Australia,2020,7.137367725,10.79441643,0.936517,70.97499847,0.905282974,0.203258112,0.491094828
Australia,2021,7.111598969,10.81525517,0.91975528,71.05000305,0.912402213,0.236002743,0.453676045
Australia,2022,7.034696102,10.85352898,0.941673338,71.125,0.853776991,0.15346466,0.545216978
Iran,2018,4.278117657,9.59075737,0.673764706,66.15000153,0.603319883,0.075026356,0.703439772
Iran,2019,5.006145954,9.552820206,0.698293149,66.30000305,0.623282075,0.130693048,0.728306532
Iran,2020,4.864528179,9.577228546,0.757218659,66.44999695,0.599594474,0.13269636,0.70990169
Iran,2021,4.78781414,9.616117477,0.771469533,66.59999847,0.609310269,0.17448397,0.761170328
Iran,2022,4.976995468,9.637630463,0.800070286,66.75,0.570203483,0.211653218,0.766079903
